haskell-emojis 0.1.4.1-83
haskell-erf 2.0.0.0-27
haskell-fast-logger 3.2.4-36
haskell-file-embed 0.0.16.0-2
haskell-foldable1-classes-compat 0.1.2-58
haskell-generically 0.1.1-89
haskell-generics-sop 0.5.1.3-5
haskell-ghc-bignum-orphans 0.1.1-4
haskell-glob 0.10.2-192
haskell-gridtables 0.1.1.0-19
haskell-haddock-library 1.11.0-178
haskell-half 0.3.3-68
haskell-hashable 1.4.7.0-21
haskell-hourglass 0.2.12-347
haskell-hslua 2.3.0-198
haskell-hslua-aeson 2.3.1.1-46
haskell-hslua-classes 2.3.1-27
haskell-hslua-core 2.3.2-31
haskell-hslua-list 1.1.4-26
haskell-hslua-marshalling 2.3.1-138
haskell-hslua-module-doclayout 1.2.0-6
haskell-hslua-module-path 1.1.1-100
haskell-hslua-module-system 1.1.2-51
haskell-hslua-module-text 1.1.0.1-165
haskell-hslua-module-version 1.1.1-142
haskell-hslua-module-zip 1.1.3-44
haskell-hslua-objectorientation 2.3.1-46
haskell-hslua-packaging 2.3.1-148
haskell-hslua-repl 0.1.2-144
haskell-hslua-typing 0.1.1-140
haskell-http-api-data 0.6.1-40
haskell-http-client 0.7.19-55
haskell-http-client-tls 0.3.6.4-132
haskell-http-date 0.0.11-239
haskell-http-media 0.8.1.1-115
haskell-http-types 0.12.4-135
haskell-http2 5.1.0-11
haskell-hunit 1.6.2.0-427
haskell-indexed-traversable 0.1.4-177
haskell-indexed-traversable-instances 0.1.2-126
haskell-integer-conversion 0.1.1-55
haskell-integer-logarithms 1.0.4-144
haskell-iproute 1.7.15-85
haskell-ipynb 0.2-278
haskell-isocline 1.0.9-4
haskell-jira-wiki-markup 1.5.1-123
haskell-juicypixels 3.3.9-92
haskell-lexer 1.2-2
haskell-libyaml 0.1.4-156
haskell-lpeg 1.1.0-40
haskell-lua 2.3.4-3
haskell-memory 0.18.0-109
haskell-mime-types 0.1.2.0-4
haskell-mmorph 1.2.1-2
haskell-monad-control 1.0.3.1-270
haskell-mono-traversable 1.0.21.0-130
haskell-network 3.1.4.0-122
haskell-network-bsd 2.8.1.0-312
haskell-network-byte-order 0.1.7-4
haskell-network-control 0.1.3-17
haskell-network-uri 2.6.4.2-134
haskell-old-locale 1.0.0.7-33
haskell-old-time 1.1.0.4-5
haskell-onetuple 0.4.2-184
haskell-only 0.1-25
haskell-optparse-applicative 0.18.1.0-260
haskell-ordered-containers 0.2.4-101
haskell-os-string 2.0.8-90
haskell-pandoc 3.5-5
haskell-pandoc-lua-engine 0.3.3-7
haskell-pandoc-lua-marshal 0.2.9-10
haskell-pandoc-server 0.1.0.9-5
haskell-pandoc-types 1.23.1-159
haskell-pem 0.2.4-387
haskell-pretty-show 1.10-20
haskell-prettyprinter 1.7.1-362
haskell-prettyprinter-ansi-terminal 1.1.3-471
haskell-prettyprinter-compat-ansi-wl-pprint 1.0.2-239
haskell-primitive 0.9.1.0-114
haskell-psqueues 0.2.8.2-52
haskell-quickcheck 2.15.0.1-95
haskell-random 1.2.1.3-181
haskell-recv 0.1.1-72
haskell-regex-base 0.94.0.3-3
haskell-regex-tdfa 1.3.2.5-9
haskell-resourcet 1.2.6-244
haskell-safe 0.3.21-106
haskell-safe-exceptions 0.1.7.4-190
haskell-scientific 0.3.8.0-152
haskell-semialign 1.3.1-54
haskell-semigroupoids 6.0.1-98
haskell-serialise 0.2.6.1-169
haskell-servant 0.20.3.0-46
haskell-servant-server 0.20.3.0-60
haskell-sha 1.6.4.4-22
haskell-simple-sendfile 0.2.32-191
haskell-singleton-bool 0.1.8-47
haskell-skylighting 0.14.3-18
haskell-skylighting-core 0.14.3-18
haskell-skylighting-format-ansi 0.1-287
haskell-skylighting-format-blaze-html 0.1.1.3-141
haskell-skylighting-format-context 0.1.0.2-251
haskell-skylighting-format-latex 0.1-286
haskell-socks 0.6.1-339
haskell-some 1.0.6-73
haskell-sop-core 0.5.0.2-4
haskell-split 0.2.5-148
haskell-splitmix 0.1.3-8
haskell-statevar 1.2.2-5
haskell-streaming-commons 0.2.3.1-3
haskell-strict 0.5.1-21
haskell-string-conversions 0.4.0.1-272
haskell-syb 0.7.3-69
haskell-tagged 0.8.9-3
haskell-tagsoup 0.14.8-327
haskell-tasty 1.5.2-70
haskell-temporary 1.3-903
haskell-texmath 0.12.8.11-10
haskell-text-conversions 0.3.1.1-165
haskell-text-icu 0.8.0.5-105
haskell-text-iso8601 0.1.1-55
haskell-text-short 0.1.6-182
haskell-th-abstraction 0.5.0.0-2
haskell-th-compat 0.1.6-84
haskell-th-lift 0.8.6-2
haskell-th-lift-instances 0.1.20-153
haskell-these 1.2.1-230
haskell-time-compat 1.9.8-30
haskell-time-manager 0.0.1-147
haskell-tls 2.0.6-66
haskell-toml-parser 2.0.1.2-64
haskell-transformers-base 0.4.6-270
haskell-transformers-compat 0.7.2-4
haskell-type-equality 1.0.1-3
haskell-typed-process 0.2.13.0-155
haskell-typst 0.6-14
haskell-typst-symbols 0.1.6-2
haskell-unicode-collation 0.1.3.6-121
haskell-unicode-data 0.6.0-35
haskell-unicode-transforms 0.4.0.1-178
haskell-uniplate 1.6.13-336
haskell-unix-compat 0.7.4.1-47
haskell-unix-time 0.4.17-70
haskell-unliftio 0.2.25.1-90
haskell-unliftio-core 0.2.1.0-4
haskell-unordered-containers 0.2.20.1-19
haskell-utf8-string 1.0.2-257
haskell-uuid-types 1.0.6-227
haskell-vault 0.3.1.5-298
haskell-vector 0.13.2.0-333
haskell-vector-algorithms 0.9.1.0-118
haskell-vector-stream 0.1.0.1-4
haskell-wai 3.2.4-148
haskell-wai-app-static 3.1.9-226
haskell-wai-cors 0.2.7-484
haskell-wai-extra 3.1.18-34
haskell-wai-logger 2.5.0-136
haskell-warp 3.4.0-12
haskell-witherable 0.4.2-231
haskell-word8 0.1.3-25
haskell-xml 1.3.14-33
haskell-xml-conduit 1.9.1.4-145
haskell-xml-types 0.3.8-11
haskell-yaml 0.11.11.2-200
haskell-zip-archive 0.4.3.2-106
haskell-zlib 0.7.0.0-68
hcxdumptool 7.1.2-1
hcxtools 7.1.2-1
hdf5-openmpi 2.0.0-4
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.3.0-2
hslua-cli 1.4.3-84
htop 3.4.1-1
http-parser 2.9.4-2
hugo 0.156.0-2
hunspell 1.7.2-3
hwdata 0.404-1
hwloc 2.13.0-1
hyphen 2.8.8-6
iana-etc 20260203-1
icoutils 0.32.3-3
icu 78.2-2
ijs 0.35-6
imagemagick 7.1.2.15-1
imake 1.0.11-1
imath 3.2.2-3
img2pdf 0.6.1-2
imlib2 1.12.6-1
imv 5.0.1-1
iniparser 4.2.6-2
inkscape 1.4.3-4
intel-oneapi-common 2024.1.0-1
intel-oneapi-compiler-dpcpp-cpp-runtime-libs 2025.0.4-1
intel-oneapi-compiler-shared-runtime-libs 2025.0.4-2
intel-oneapi-openmp 2025.0.4-1
intel-oneapi-tbb 2021.12.0-2
intel-oneapi-tcm 1.2.0-3
intel-ucode 20260210-1
intltool 0.51.0-6
iproute2 6.19.0-2
iptables 1:1.8.11-2
iputils 20250605-1
iso-codes 4.20.1-1
iw 6.17-1
jack2 1.9.22-2
jansson 2.15.0-1
jasper 4.2.8-1
java-commons-lang 3.20.0-1
java-environment-common 3-6
java-runtime-common 3-6
jbig2dec 0.20-1
jbigkit 2.1-8
jdk-openjdk 25.0.2.u10-1
jemalloc 1:5.3.0-5
jp2a 1.3.3-1
jpegoptim 1.5.6-1
jq 1.8.1-1
jre8-openjdk 8.482.u08-1
jre8-openjdk-headless 8.482.u08-1
jrnl 4.2.1-2
js115 115.31.0-1
js128 128.14.0-1
js140 140.7.1-1
json-c 0.18-2
json-glib 1.10.8-1
jsoncpp 1.9.6-3
jxrlib 0.2.4-2
kaccounts-integration 25.12.2-1
kactivities5 5.116.0-2
karchive 6.23.0-1
karchive5 5.116.0-2
kauth 6.23.0-1
kauth5 5.116.0-2
kbd 2.9.0-1
kbookmarks 6.23.0-1
kbookmarks5 5.116.0-2
kcmutils 6.23.0-1
kcmutils5 5.116.0-2
kcodecs 6.23.0-1
kcodecs5 5.116.0-2
kcolorpicker 0.3.1-5
kcolorscheme 6.23.0-1
kcompletion 6.23.0-1
kcompletion5 5.116.0-2
kconfig 6.23.0-1
kconfig5 5.116.0-2
kconfigwidgets 6.23.0-1
kconfigwidgets5 5.116.0-3
kcontacts 1:6.23.0-1
kcontacts5 5.116.0-1
kcoreaddons 6.23.0-1
kcoreaddons5 5.116.0-2
kcrash 6.23.0-1
kcrash5 5.116.0-2
kdbusaddons 6.23.0-1
kdbusaddons5 5.116.0-2
kdeclarative 6.23.0-1
kdeclarative5 5.116.0-2
kdeconnect 25.12.2-1
kded5 5.116.0-2
keyutils 1.6.3-3
kfilemetadata 6.23.0-1
kglobalaccel 6.23.0-1
kglobalaccel5 5.116.0-2
kguiaddons 6.23.0-1
